FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
167, MACQUARIE ISLAND REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
168, SOUTH OF NEW ZEALAND,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
169, SAMOA ISLANDS REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
170, SAMOA ISLANDS,30,a,0,1,15,SZInter,70,SZInter,999,SZIntra,-
171, SOUTH OF FIJI ISLANDS,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
173, TONGA ISLANDS,30,a,0,1,15,SZInter,70,SZInter,999,SZIntra,-
174, TONGA ISLANDS REGION,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
175, SOUTH OF TONGA ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
176, NORTH OF NEW ZEALAND,42,-,0,0,40,SOR,999,SZIntra,-,-,-
177, KERMADEC ISLANDS REGION,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
178," KERMADEC ISLANDS, NEW ZEALAND",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
179, SOUTH OF KERMADEC ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
180, NORTH OF FIJI ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
181, FIJI ISLANDS REGION,223,-,0,0,55,OBR,999,SZIntra,-,-,-
182, FIJI ISLANDS,223,-,0,0,55,OBR,999,SZIntra,-,-,-
183, SANTA CRUZ ISLANDS REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
184, SANTA CRUZ ISLANDS,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
185, VANUATU ISLANDS REGION,30,a,0,1,15,SZInter,70,SZInter,999,SZIntra,-
186, VANUATU ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
187, NEW CALEDONIA,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
188, LOYALTY ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
189, SOUTHEAST OF LOYALTY ISLANDS,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
190," NEW IRELAND REGION, P.N.G.",223,c,0,1,55,OBR,999,SZIntra,-,-,-
191, NORTH OF SOLOMON ISLANDS,42,-,0,0,40,SOR,999,SZIntra,-,-,-
192," NEW BRITAIN REGION, P.N.G.",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
193, SOLOMON ISLANDS,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
194, D'ENTRECASTEAUX ISLANDS REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
195, SOUTH OF SOLOMON ISLANDS,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
196," IRIAN JAYA REGION, INDONESIA",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
197, NEAR NORTH COAST OF IRIAN JAYA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
198," NINIGO ISLANDS REGION, P.N.G.",31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
199," ADMIRALTY ISLANDS REGION, P.N.G.",23,-,0,0,55,OBR,-,WARNING,-,-,OBR
200," NEAR N COAST OF NEW GUINEA, PNG.",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
201," IRIAN JAYA, INDONESIA",33,c,2,0,15,SZInter,70,SZInter,999,SZIntra,-
202," NEW GUINEA, PAPUA NEW GUINEA",33,c,2,1,15,SZInter,70,SZInter,999,SZIntra,-
203, BISMARCK SEA,223,-,0,0,55,OBR,999,SZIntra,-,-,-
204," ARU ISLANDS REGION, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
205, NEAR SOUTH COAST OF IRIAN JAYA,12,-,0,0,50,SCR,999,SZIntra,-,-,-
206," NEAR S COAST OF NEW GUINEA, PNG.",220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
207," EASTERN NEW GUINEA REG., P.N.G.",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
208, ARAFURA SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
209," W. CAROLINE ISLANDS, MICRONESIA",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
210, SOUTH OF MARIANA ISLANDS,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
211," SOUTHEAST OF HONSHU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
212," BONIN ISLANDS, JAPAN REGION",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
213," VOLCANO ISLANDS, JAPAN REGION",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
214, WEST OF MARIANA ISLANDS,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
215, MARIANA ISLANDS REGION,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
216, MARIANA ISLANDS,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
217," KAMCHATKA PENINSULA, RUSSIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
218, NEAR EAST COAST OF KAMCHATKA,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
219, OFF EAST COAST OF KAMCHATKA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
220, NORTHWEST OF KURIL ISLANDS,34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
221, KURIL ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
222, EAST OF KURIL ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
223, EASTERN SEA OF JAPAN,223,-,0,0,55,OBR,999,SZIntra,-,-,-
224," HOKKAIDO, JAPAN REGION",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
225," OFF COAST OF HOKKAIDO, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
226," NEAR WEST COAST OF HONSHU, JAPAN",34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
227," EASTERN HONSHU, JAPAN",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
228," NEAR EAST COAST OF HONSHU, JAPAN",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
229," OFF EAST COAST OF HONSHU, JAPAN",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
230," NEAR S. COAST OF HONSHU, JAPAN",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
231, SOUTH KOREA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
232," WESTERN HONSHU, JAPAN",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
